state,year,term,start,end
SA,1983,1,1983-02-07,1983-05-13
WA,1983,1,1983-02-07,1983-05-13
Tas,1983,1,1983-02-22,1983-05-27
NT,1983,1,1983-01-24,1983-03-31
ACT,1983,1,1983-02-02,1983-05-06
NSW,1983,2,1983-05-23,1983-08-26
Vic,1983,2,1983-05-23,1983-08-19
Qld,1983,2,1983-04-11,1983-06-24
SA,1983,2,1983-05-30,1983-08-26
WA,1983,2,1983-05-30,1983-08-26
Tas,1983,2,1983-06-13,1983-08-26
NT,1983,2,1983-04-11,1983-06-17
ACT,1983,2,1983-05-23,1983-08-26
NSW,1983,3,1983-09-12,1983-12-15
Vic,1983,3,1983-09-05,1983-12-15
Qld,1983,3,1983-07-11,1983-09-16
SA,1983,3,1983-09-12,1983-12-16
WA,1983,3,1983-09-12,1983-12-14
Tas,1983,3,1983-09-12,1983-12-21
NT,1983,3,1983-07-18,1983-09-23
ACT,1983,3,1983-09-12,1983-12-16
NSW,1984,1,1984-02-01,1984-05-04
Vic,1984,1,1984-01-31,1984-05-04
Qld,1984,1,1984-01-23,1984-04-13
SA,1984,1,1984-02-06,1984-05-11
WA,1984,1,1984-02-06,1984-05-11
Tas,1984,1,1984-02-21,1984-05-25
NT,1984,1,1984-01-23,1984-03-30
ACT,1984,1,1984-02-01,1984-05-04
NSW,1984,2,1984-05-21,1984-08-24
Vic,1984,2,1984-05-21,1984-08-17
Qld,1984,2,1984-04-24,1984-06-22
SA,1984,2,1984-05-28,1984-08-24
WA,1984,2,1984-05-28,1984-08-24
Tas,1984,2,1984-06-12,1984-08-31
NT,1984,2,1984-04-09,1984-06-22
ACT,1984,2,1984-05-21,1984-08-24
NSW,1984,3,1984-09-10,1984-12-13
Vic,1984,3,1984-09-03,1984-12-18
Qld,1984,3,1984-07-09,1984-09-14
SA,1984,3,1984-09-10,1984-12-14
WA,1984,3,1984-09-10,1984-12-19
Tas,1984,3,1984-09-17,1984-12-20
NT,1984,3,1984-07-23,1984-09-28
ACT,1984,3,1984-09-10,1984-12-14
NSW,1985,1,1985-01-30,1985-05-03
Vic,1985,1,1985-02-05,1985-05-10
Qld,1985,1,1985-01-29,1985-04-04
SA,1985,1,1985-02-11,1985-05-17
WA,1985,1,1985-02-11,1985-05-17
Tas,1985,1,1985-02-19,1985-05-31
NT,1985,1,1985-01-29,1985-04-04
ACT,1985,1,1985-01-30,1985-05-03
NSW,1985,2,1985-05-20,1985-08-23
Vic,1985,2,1985-05-27,1985-08-23
Qld,1985,2,1985-04-15,1985-06-21
SA,1985,2,1985-06-03,1985-08-30
WA,1985,2,1985-06-04,1985-08-30
Tas,1985,2,1985-06-17,1985-08-30
NT,1985,2,1985-04-15,1985-06-28
ACT,1985,2,1985-05-20,1985-08-23
NSW,1985,3,1985-09-09,1985-12-12
Vic,1985,3,1985-09-09,1985-12-19
Qld,1985,3,1985-07-08,1985-09-20
SA,1985,3,1985-09-16,1985-12-20
WA,1985,3,1985-09-16,1985-12-18
Tas,1985,3,1985-09-16,1985-12-19
NT,1985,3,1985-07-24,1985-10-04
ACT,1985,3,1985-09-09,1985-12-13
NSW,1986,1,1986-01-29,1986-05-02
Vic,1986,1,1986-02-04,1986-05-09
